ObjectID,Artist,Nationality,Gender,Department,DateAcquired
95475,Georg Baselitz,German,Male,Drawings,2005
95476,Georg Baselitz,German,Male,Drawings,2005
95477,Georg Baselitz,German,Male,Drawings,2005
95478,Georg Baselitz,German,Male,Drawings,2005
95479,Jean-Michel Basquiat,American,Male,Drawings,2005
95480,Gary Batty,American,Male,Drawings,2005
95481,Michael Gerald Bauer,American,Male,Drawings,2005
95482,Michael Gerald Bauer,American,Male,Drawings,2005
95483,Robert Bechtle,American,Male,Drawings,2005
95484,Robert Bechtle,American,Male,Drawings,2005
95485,Robert Bechtle,American,Male,Drawings,2005
95486,Jarrod Beck,American,Male,Drawings,2005
95487,Jarrod Beck,American,Male,Drawings,2005
95488,Jarrod Beck,American,Male,Drawings,2005
95489,Robert Beck,American,Male,Drawings,2005
95490,Robert Beck,American,Male,Drawings,2005
95491,Julie Becker,American,Female,Drawings,2005
95492,Julie Becker,American,Female,Drawings,2005
95493,Dirk Bell,German,Male,Drawings,2005
95494,Dirk Bell,German,Male,Drawings,2005
95495,Dirk Bell,German,Male,Drawings,2005
95496,Dirk Bell,German,Male,Drawings,2005
95497,Dirk Bell,German,Male,Drawings,2005
95498,Dirk Bell,German,Male,Drawings,2005
95499,Dirk Bell,German,Male,Drawings,2005
95500,Dirk Bell,German,Male,Drawings,2005
95501,Matthew Benedict,American,Male,Drawings,2005
95502,Ellen Berkenblit,American,Female,Drawings,2005
95503,Ellen Berkenblit,American,Female,Drawings,2005
95504,Jake Berthot,American,Male,Drawings,2005
95505,Jake Berthot,American,Male,Drawings,2005
95506,Jake Berthot,American,Male,Drawings,2005
95507,Joseph Beuys,German,Male,Drawings,2005
95508,Joseph Beuys,German,Male,Drawings,2005
95509,Joseph Beuys,German,Male,Drawings,2005
95510,Joseph Beuys,German,Male,Drawings,2005
95511,Joseph Beuys,German,Male,Drawings,2005
95512,Joseph Beuys,German,Male,Drawings,2005
95513,Joseph Beuys,German,Male,Drawings,2005
95514,Joseph Beuys,German,Male,Drawings,2005
95515,Joseph Beuys,German,Male,Drawings,2005
95516,Joseph Beuys,German,Male,Drawings,2005
95517,Joseph Beuys,German,Male,Drawings,2005
95518,Joseph Beuys,German,Male,Drawings,2005
95519,Joseph Beuys,German,Male,Drawings,2005
95520,Joseph Beuys,German,Male,Drawings,2005
95521,Joseph Beuys,German,Male,Drawings,2005
